Cost of Living Index,mortgage_rate,date,nielsen_rank,hotness_rank,hotness_rank_yy,supply_score,demand_score,median_days_on_market_yy,ldp_unique_viewers_per_property_yy,ldp_unique_viewers_per_property_vs_us,median_listing_price_yy,city_name,state_abb,city_state,tax_rank,Effective_Total_Tax_Med_US_Household,Annual_Total_Tax_Med_US_Household,Per_Diff_State_US_Avg,Annual_Total_Tax_State_Household,Adjusted_Overall_Rank
110.1,2.27,2021-06-01,8,1541,9,5.580215599,1.585288523,-0.427509294,0.833333333,0.2,0.052630526,miami,fl,miami_fl,6,8.23%,"$5,204 ",-23.79%,"$4,820 ",5
93.9,2.27,2021-06-01,29,236,-207,96.70259987,55.99239062,-0.61038961,0,1.0727,-0.06483871,columbus,oh,columbus_oh,43,13.18%,"$8,329 ",21.98%,"$6,724 ",31
98.5,2.27,2021-06-01,667,98,154,88.14204185,87.4445149,-0.605042017,0.764705882,1.6364,0.219596343,dallas,tx,dallas_tx,40,12.79%,"$8,083 ",18.37%,"$7,212 ",34
107,2.27,2021-06-01,64,827,-505,74.8890298,22.51109702,-0.280487805,0.193548387,0.6727,-0.001520994,baltimore,md,baltimore_md,32,11.49%,"$7,261 ",6.34%,"$10,011 ",46
,2.27,2021-06-01,913,796,294,36.39822448,62.77742549,-0.551912568,1.321428571,1.1818,0.45112782,newport,or,newport_or,13,8.99%,"$5,686 ",-16.73%,"$6,598 ",24
82.6,2.27,2021-06-01,749,741,-379,29.93024731,73.55738744,-0.387323944,0.396226415,1.3455,0.490263752,weirton,wv,weirton_wv,17,9.69%,"$6,124 ",-10.31%,"$4,405 ",12
,2.27,2021-06-01,1003,889,-340,31.57894737,61.63601776,-0.414965986,0.523809524,1.1636,0.245982289,sidney,oh,sidney_oh,43,13.18%,"$8,329 ",21.98%,"$6,724 ",31
87.6,2.27,2021-06-01,451,1222,-133,47.62206722,13.06277743,-0.459854015,0.578947368,0.5455,-0.107058824,waterloo,ia,waterloo_ia,44,13.18%,"$8,334 ",22.05%,"$7,053 ",35
,2.27,2021-06-01,1078,330,331,76.79137603,64.36271401,-0.472727273,1.481481481,1.2182,0.256786827,lawrenceburg,tn,lawrenceburg_tn,10,8.72%,"$5,513 ",-19.27%,"$4,551 ",4
86,2.27,2021-06-01,561,961,374,62.46036779,25.55485098,-0.609467456,1.666666667,0.7273,0.050025013,gadsden,al,gadsden_al,15,9.10%,"$5,754 ",-15.73%,"$4,508 ",7
,2.27,2021-06-01,845,1347,19,24.47685479,19.08687381,-0.465909091,1.333333333,0.6364,-0.035216434,columbus,ms,columbus_ms,36,11.97%,"$7,569 ",10.86%,"$5,381 ",21
91.8,2.27,2021-06-01,236,433,457,71.14774889,58.52885225,-0.655367232,0.742857143,1.1091,-0.020705745,erie,pa,erie_pa,48,13.97%,"$8,830 ",29.32%,"$8,138 ",44
100.3,2.27,2021-06-01,797,590,158,64.10906785,51.04629042,-0.414414414,1.333333333,1.0182,0.139884184,atlanta,ga,atlanta_ga,21,10.57%,"$6,683 ",-2.13%,"$5,989 ",15
120.1,2.27,2021-06-01,1169,539,129,67.78693722,52.50475587,-0.491935484,0.9,1.0364,0.041976779,washington,dc,washington_dc,14,9.04%,"$5,715 ",-16.30%,"$9,563 ",42
92.9,2.27,2021-06-01,383,1066,-601,43.37349398,33.86176284,-0.23,0.5,0.8182,0.094361502,omaha,ne,omaha_ne,46,13.27%,"$8,386 ",22.82%,"$7,214 ",38
93.2,2.27,2021-06-01,291,809,5,49.71464807,48.70006341,-0.513333333,0.741935484,0.9818,-0.054831933,duluth,mn,duluth_mn,29,11.27%,"$7,128 ",4.39%,"$7,774 ",29
87.2,2.27,2021-06-01,1381,1319,-866,11.22384274,37.79327838,0.043859649,0.371428571,0.8727,-0.160043848,macon,ga,macon_ga,21,10.57%,"$6,683 ",-2.13%,"$5,989 ",15
102.3,2.27,2021-06-01,823,1272,69,11.22384274,43.62714014,-0.640483384,0.888888889,0.9273,0.066666667,claremont,nh,claremont_nh,19,10.06%,"$6,358 ",-6.88%,"$7,577 ",33
,2.27,2021-06-01,1009,1504,55,2.473050095,12.68230818,-0.17699115,2.75,0.5455,0.562491071,rio grande city,tx,rio grande city_tx,40,12.79%,"$8,083 ",18.37%,"$7,212 ",34
103.4,2.27,2021-06-01,490,553,-50,47.62206722,71.52821814,-0.421875,0.945945946,1.3091,0.247167756,missoula,mt,missoula_mt,3,7.11%,"$4,494 ",-34.19%,"$4,301 ",2
104.3,2.27,2021-06-01,4,894,15,76.79137603,16.10653139,-0.5,0.6,0.5818,0.138134593,phoenix,az,phoenix_az,16,9.52%,"$6,021 ",-11.83%,"$5,814 ",14
128,2.27,2021-06-01,7,1535,-15,8.560558022,0.126823082,-0.404545455,-0.285714286,0.0909,-0.046037015,new york,ny,new york_ny,49,14.08%,"$8,900 ",30.34%,"$11,024 ",49
98.9,2.27,2021-06-01,782,526,174,54.91439442,66.64552949,-0.641025641,0.387755102,1.2364,0.340195302,allentown,pa,allentown_pa,48,13.97%,"$8,830 ",29.32%,"$8,138 ",44
109.1,2.27,2021-06-01,670,152,490,90.29803424,76.09384908,-0.687943262,1.111111111,1.3818,0.110414453,port angeles,wa,port angeles_wa,37,12.02%,"$7,601 ",11.33%,"$9,732 ",39
120.1,2.27,2021-06-01,813,581,6,60.3043754,55.54850983,-0.544217687,0.475,1.0727,0.001641215,washington,dc,washington_dc,14,9.04%,"$5,715 ",-16.30%,"$9,563 ",42
98.5,2.27,2021-06-01,85,193,191,82.56182625,77.42549144,-0.442105263,1.483870968,1.4,0.076961834,dallas,tx,dallas_tx,40,12.79%,"$8,083 ",18.37%,"$7,212 ",34
97.9,2.27,2021-06-01,761,884,358,57.07038681,36.46163602,-0.627027027,1.043478261,0.8545,0.141598982,hermiston,or,hermiston_or,13,8.99%,"$5,686 ",-16.73%,"$6,598 ",24
,2.27,2021-06-01,711,19,-18,94.4197844,98.09765377,-0.379310345,0.364583333,2.3818,0.006411502,louisville/jefferson county,ky,louisville/jefferson county_ky,39,12.48%,"$7,887 ",15.51%,"$6,115 ",30
,2.27,2021-06-01,1038,90,485,83.51299937,93.08814204,-0.697674419,1.078431373,1.9273,0.100343053,hillsdale,mi,hillsdale_mi,38,12.22%,"$7,728 ",13.18%,"$6,388 ",25
95.5,2.27,2021-06-01,1023,846,17,32.78376665,63.4115409,-0.356060606,1.538461538,1.2,-0.006572084,harrisonburg,va,harrisonburg_va,25,10.73%,"$6,783 ",-0.66%,"$7,955 ",26
105.4,2.27,2021-06-01,204,872,-543,74.8890298,19.59416614,-0.169014085,0.206896552,0.6364,0.007408505,minneapolis,mn,minneapolis_mn,29,11.27%,"$7,128 ",4.39%,"$7,774 ",29
,2.27,2021-06-01,1156,246,187,58.27520609,92.83449588,-0.613636364,-0.086956522,1.9091,-0.169549104,dyersburg,tn,dyersburg_tn,10,8.72%,"$5,513 ",-19.27%,"$4,551 ",4
100.3,2.27,2021-06-01,478,897,105,57.07038681,35.63728599,-0.43442623,1.421052632,0.8364,0.107582102,atlanta,ga,atlanta_ga,21,10.57%,"$6,683 ",-2.13%,"$5,989 ",15
,2.27,2021-06-01,1004,1072,372,26.44261256,50.41217502,-0.606060606,1.947368421,1.0182,0.488913043,ruston,la,ruston_la,23,10.63%,"$6,723 ",-1.54%,"$5,239 ",19
,2.27,2021-06-01,1230,1499,-47,10.77996195,5.389980977,-0.395,0.615384615,0.3818,-0.008013263,troy,al,troy_al,15,9.10%,"$5,754 ",-15.73%,"$4,508 ",7
93.8,2.27,2021-06-01,460,431,-369,58.27520609,71.46480659,-0.252747253,0.263157895,1.3091,-0.005351262,milwaukee,wi,milwaukee_wi,45,13.22%,"$8,357 ",22.39%,"$7,586 ",37
97.9,2.27,2021-06-01,40,398,-135,84.6544071,48.82688649,-0.457446809,0.459459459,0.9818,0.102469136,charlotte,nc,charlotte_nc,22,10.61%,"$6,710 ",-1.73%,"$5,742 ",17
100.1,2.27,2021-06-01,331,76,392,97.97083069,80.72289157,-0.648648649,2.333333333,1.4545,0.271791502,nashville,tn,nashville_tn,10,8.72%,"$5,513 ",-19.27%,"$4,551 ",4
91,2.27,2021-06-01,1311,934,-10,8.053265694,81.67406468,-0.416666667,0.822222222,1.4909,0.123201123,spartanburg,sc,spartanburg_sc,12,8.99%,"$5,683 ",-16.78%,"$4,779 ",11
97.1,2.27,2021-06-01,669,549,-411,28.97907419,90.42485732,-0.2,0.644067797,1.7636,0.148543689,watertown,wi,watertown_wi,45,13.22%,"$8,357 ",22.39%,"$7,586 ",37
128,2.27,2021-06-01,55,1108,-426,65.94800254,6.975269499,-0.280898876,0.1,0.4,-0.038461538,new york,ny,new york_ny,49,14.08%,"$8,900 ",30.34%,"$11,024 ",49
,2.27,2021-06-01,1080,820,276,49.71464807,48.19277108,-0.560240964,1.076923077,0.9818,-0.133170298,big rapids,mi,big rapids_mi,38,12.22%,"$7,728 ",13.18%,"$6,388 ",25
95.8,2.27,2021-06-01,220,1359,-175,36.39822448,5.707038681,-0.364341085,0.909090909,0.3818,0.177206145,houston,tx,houston_tx,40,12.79%,"$8,083 ",18.37%,"$7,212 ",34
,2.27,2021-06-01,56,1253,-334,41.85161699,15.09194673,-0.385826772,0.409090909,0.5636,0.285695187,bridgeport,ct,bridgeport_ct,50,14.84%,"$9,379 ",37.36%,"$11,625 ",51
87.5,2.27,2021-06-01,302,1568,-10,0.126823082,0.887761573,0.98245614,-0.090909091,0.1818,-0.050033356,springfield,il,springfield_il,51,15.01%,"$9,488 ",38.95%,"$9,200 ",47
,2.27,2021-06-01,815,474,750,58.27520609,67.15282181,-0.688073394,1.464285714,1.2545,0.039193365,barre,vt,barre_vt,33,11.62%,"$7,347 ",7.60%,"$7,498 ",41
93.6,2.27,2021-06-01,875,909,-398,21.17945466,70.7038681,-0.402439024,0.358490566,1.3091,-0.029404156,lynchburg,va,lynchburg_va,25,10.73%,"$6,783 ",-0.66%,"$7,955 ",26
112.1,2.27,2021-06-01,819,290,-153,99.55611921,45.08560558,-0.701754386,0.368421053,0.9455,-0.058025622,denver,co,denver_co,9,8.54%,"$5,396 ",-20.98%,"$6,611 ",13
93.9,2.27,2021-06-01,436,7,16,97.59036145,98.47812302,-0.681818182,0.336633663,2.4545,0.047988709,columbus,oh,columbus_oh,43,13.18%,"$8,329 ",21.98%,"$6,724 ",31
82.6,2.27,2021-06-01,1245,701,-378,21.94039315,84.71781864,-0.2421875,0.755102041,1.5636,0.25070159,weirton,wv,weirton_wv,17,9.69%,"$6,124 ",-10.31%,"$4,405 ",12
87.3,2.27,2021-06-01,70,1283,-422,43.37349398,10.71655041,-0.23,0.588235294,0.4909,-0.117162202,oklahoma city,ok,oklahoma city_ok,31,11.44%,"$7,235 ",5.95%,"$5,673 ",22
,2.27,2021-06-01,922,904,-86,34.24223209,57.89473684,-0.538461538,0.564102564,1.1091,0.278466456,greenville,oh,greenville_oh,43,13.18%,"$8,329 ",21.98%,"$6,724 ",31
,2.27,2021-06-01,816,1540,-169,1.902346227,5.453392517,1.053719008,-0.125,0.3818,-0.105554093,sayre,pa,sayre_pa,48,13.97%,"$8,830 ",29.32%,"$8,138 ",44
,2.27,2021-06-01,1067,1287,218,15.78947368,37.983513,-0.678678679,1.666666667,0.8727,0.080683157,bradford,pa,bradford_pa,48,13.97%,"$8,830 ",29.32%,"$8,138 ",44
88,2.27,2021-06-01,560,205,506,74.8890298,81.42041852,-0.674033149,0.840909091,1.4727,-0.143665387,fond du lac,wi,fond du lac_wi,45,13.22%,"$8,357 ",22.39%,"$7,586 ",37
88.5,2.27,2021-06-01,923,690,193,28.97907419,78.44007609,-0.284552846,2.434782609,1.4364,-0.144417476,montgomery,al,montgomery_al,15,9.10%,"$5,754 ",-15.73%,"$4,508 ",7
105.4,2.27,2021-06-01,31,987,-378,78.31325301,6.911857958,-0.219178082,0.1,0.4,-0.10706311,minneapolis,mn,minneapolis_mn,29,11.27%,"$7,128 ",4.39%,"$7,774 ",29
99.8,2.27,2021-06-01,447,11,317,98.47812302,95.62460368,-0.806722689,1.545454545,2.0364,0.080482897,durham,nc,durham_nc,22,10.61%,"$6,710 ",-1.73%,"$5,742 ",17
143,2.27,2021-06-01,176,964,-208,41.85161699,45.97336715,-0.438848921,0.733333333,0.9455,0.115966387,santa maria,ca,santa maria_ca,11,8.96%,"$5,662 ",-17.08%,"$8,588 ",32
91,2.27,2021-06-01,313,1458,-231,9.89220038,14.71147749,-0.2,0.823529412,0.5636,0.152242329,tuscaloosa,al,tuscaloosa_al,15,9.10%,"$5,754 ",-15.73%,"$4,508 ",7
,2.27,2021-06-01,1346,1192,273,21.94039315,41.34432467,-0.65480427,1.5,0.9091,0.045406547,lincoln,il,lincoln_il,51,15.01%,"$9,488 ",38.95%,"$9,200 ",47
,2.27,2021-06-01,1249,781,-186,69.18199112,31.07165504,-0.47008547,0.419354839,0.8,0.08436019,columbus,ne,columbus_ne,46,13.27%,"$8,386 ",22.82%,"$7,214 ",38
,2.27,2021-06-01,1208,392,794,64.10906785,70.13316424,-0.704545455,1.366666667,1.2909,0.622439024,berlin,nh,berlin_nh,19,10.06%,"$6,358 ",-6.88%,"$7,577 ",33
90,2.27,2021-06-01,26,1096,-601,46.54407102,27.52060875,-0.404761905,0.138888889,0.7455,-0.050012503,cleveland,oh,cleveland_oh,43,13.18%,"$8,329 ",21.98%,"$6,724 ",31
93.1,2.27,2021-06-01,446,1328,-44,11.60431198,35.57387445,-0.572463768,0.586206897,0.8364,0.194647977,pittsburgh,pa,pittsburgh_pa,48,13.97%,"$8,830 ",29.32%,"$8,138 ",44
89.5,2.27,2021-06-01,888,936,464,35.32022828,54.21686747,-0.612149533,1.9,1.0545,0.462029983,branson,mo,branson_mo,28,11.25%,"$7,111 ",4.14%,"$6,023 ",16
86,2.27,2021-06-01,375,37,305,91.94673431,94.29296132,-0.713286713,0.894736842,1.9636,0.027777778,kingsport,tn,kingsport_tn,10,8.72%,"$5,513 ",-19.27%,"$4,551 ",4
,2.27,2021-06-01,947,1550,-24,0.380469245,4.882688649,1.111594203,0.176470588,0.3636,-0.01607717,clinton,ia,clinton_ia,44,13.18%,"$8,334 ",22.05%,"$7,053 ",35
178.6,2.27,2021-06-01,49,1286,-715,49.71464807,4.121750159,0.280701754,-0.1,0.3273,-0.116449783,san francisco,ca,san francisco_ca,11,8.96%,"$5,662 ",-17.08%,"$8,588 ",32
91,2.27,2021-06-01,577,874,-127,40.13950539,54.02663285,-0.487012987,0.657142857,1.0545,0.222620901,kankakee,il,kankakee_il,51,15.01%,"$9,488 ",38.95%,"$9,200 ",47
,2.27,2021-06-01,1238,62,384,84.6544071,97.08306912,-0.692771084,0.904761905,2.1818,-0.124497992,seneca falls,ny,seneca falls_ny,49,14.08%,"$8,900 ",30.34%,"$11,024 ",49
91.6,2.27,2021-06-01,275,868,-584,44.9587825,49.71464807,-0.321428571,0.279069767,1,-0.03744924,kansas city,mo,kansas city_mo,28,11.25%,"$7,111 ",4.14%,"$6,023 ",16
99,2.27,2021-06-01,342,631,289,54.91439442,57.32403297,-0.507042254,1.307692308,1.0909,0.222930895,jacksonville,fl,jacksonville_fl,6,8.23%,"$5,204 ",-23.79%,"$4,820 ",5
90.7,2.27,2021-06-01,340,175,-72,73.11350666,89.47368421,-0.417475728,0.516129032,1.7091,-0.039688839,appleton,wi,appleton_wi,45,13.22%,"$8,357 ",22.39%,"$7,586 ",37
,2.27,2021-06-01,1221,381,638,58.27520609,76.85478757,-0.695067265,0.974358974,1.4,0.339622642,paris,tn,paris_tn,10,8.72%,"$5,513 ",-19.27%,"$4,551 ",4
99,2.27,2021-06-01,286,571,542,54.91439442,62.07989854,-0.536423841,2.047619048,1.1636,0.268432308,jacksonville,fl,jacksonville_fl,6,8.23%,"$5,204 ",-23.79%,"$4,820 ",5
,2.27,2021-06-01,876,1,94,99.55611921,99.23906151,-0.844036697,0.606382979,2.7455,0.042100875,mount vernon,oh,mount vernon_oh,43,13.18%,"$8,329 ",21.98%,"$6,724 ",31
,2.27,2021-06-01,243,481,79,74.8890298,49.96829423,-0.504201681,0.71875,1,0.199833333,norwich,ct,norwich_ct,50,14.84%,"$9,379 ",37.36%,"$11,625 ",51
91.1,2.27,2021-06-01,955,1509,-577,5.389980977,9.13126189,0.368421053,0.368421053,0.4727,-0.020880952,lexington,ky,lexington_ky,39,12.48%,"$7,887 ",15.51%,"$6,115 ",30
89.6,2.27,2021-06-01,946,1167,-802,19.78440076,46.60748256,-0.264705882,0.104166667,0.9636,0.213161347,st. louis,mo,st. louis_mo,28,11.25%,"$7,111 ",4.14%,"$6,023 ",16
95.7,2.27,2021-06-01,415,1054,-244,36.39822448,42.1686747,-0.534090909,0.315789474,0.9091,0.073792011,chambersburg,pa,chambersburg_pa,48,13.97%,"$8,830 ",29.32%,"$8,138 ",44
100.1,2.27,2021-06-01,238,162,327,99.30247305,65.18706405,-0.672413793,2.045454545,1.2182,0.189228992,nashville,tn,nashville_tn,10,8.72%,"$5,513 ",-19.27%,"$4,551 ",4
87.6,2.27,2021-06-01,650,153,132,83.51299937,82.75206088,-0.59375,0.566037736,1.5091,-0.148906789,zanesville,oh,zanesville_oh,43,13.18%,"$8,329 ",21.98%,"$6,724 ",31
158.5,2.27,2021-06-01,422,1427,-11,9.004438808,20.79898542,-0.333333333,1.4,0.6545,0.253250774,kahului,hi,kahului_hi,24,10.66%,"$6,736 ",-1.35%,"$9,621 ",45
105.4,2.27,2021-06-01,119,886,-615,80.78630311,12.5554851,-0.112903226,-0.064516129,0.5273,-0.008547009,minneapolis,mn,minneapolis_mn,29,11.27%,"$7,128 ",4.39%,"$7,774 ",29
95.4,2.27,2021-06-01,454,375,-19,69.18199112,66.58211795,-0.583892617,0.152542373,1.2364,-0.011466983,lebanon,pa,lebanon_pa,48,13.97%,"$8,830 ",29.32%,"$8,138 ",44
,2.27,2021-06-01,930,342,-118,46.54407102,92.77108434,-0.427480916,0.5,1.9091,0.250783699,ashland,oh,ashland_oh,43,13.18%,"$8,329 ",21.98%,"$6,724 ",31
,2.27,2021-06-01,1320,69,111,95.24413443,85.41534559,-0.714285714,0.403225806,1.5818,0.636462882,washington court house,oh,washington court house_oh,43,13.18%,"$8,329 ",21.98%,"$6,724 ",31
89.6,2.27,2021-06-01,41,1111,-631,49.71464807,22.6379201,-0.359649123,0.121212121,0.6727,-0.09648318,st. louis,mo,st. louis_mo,28,11.25%,"$7,111 ",4.14%,"$6,023 ",16
95,2.27,2021-06-01,516,628,166,36.39822448,76.15726062,-0.528735632,1,1.3818,-0.018390274,greenville,sc,greenville_sc,12,8.99%,"$5,683 ",-16.78%,"$4,779 ",11
89.6,2.27,2021-06-01,255,1358,-277,24.47685479,17.81864299,-0.4125,0.36,0.6182,-0.05377907,st. louis,mo,st. louis_mo,28,11.25%,"$7,111 ",4.14%,"$6,023 ",16
,2.27,2021-06-01,1260,1466,-57,5.009511731,18.4527584,-0.329113924,0.590909091,0.6364,0.230248307,jackson,oh,jackson_oh,43,13.18%,"$8,329 ",21.98%,"$6,724 ",31
99.3,2.27,2021-06-01,183,734,-283,73.11350666,30.6911858,-0.325842697,0.592592593,0.7818,0.084460322,ann arbor,mi,ann arbor_mi,38,12.22%,"$7,728 ",13.18%,"$6,388 ",25
88.1,2.27,2021-06-01,912,962,-6,31.57894737,56.4362714,-0.514124294,0.818181818,1.0909,-0.118040941,frankfort,ky,frankfort_ky,39,12.48%,"$7,887 ",15.51%,"$6,115 ",30
90.2,2.27,2021-06-01,48,1181,-422,49.71464807,15.02853519,-0.401639344,0.192307692,0.5636,0.028189601,indianapolis,in,indianapolis_in,34,11.75%,"$7,430 ",8.81%,"$6,239 ",28
93.8,2.27,2021-06-01,46,636,-542,88.14204185,23.7159163,-0.477777778,-0.24,0.6909,0.079252238,milwaukee,wi,milwaukee_wi,45,13.22%,"$8,357 ",22.39%,"$7,586 ",37
90.2,2.27,2021-06-01,568,1179,-138,10.58972733,54.47051363,-0.222929936,1.230769231,1.0545,0.129883844,new bern,nc,new bern_nc,22,10.61%,"$6,710 ",-1.73%,"$5,742 ",17
94.1,2.27,2021-06-01,1234,530,-133,29.93024731,91.3126189,-0.335877863,1.272727273,1.8182,0.110265624,roanoke,va,roanoke_va,25,10.73%,"$6,783 ",-0.66%,"$7,955 ",26
100.1,2.27,2021-06-01,398,1246,-533,25.55485098,31.95941661,-0.37414966,0.294117647,0.8,-0.037045674,albany,ny,albany_ny,49,14.08%,"$8,900 ",30.34%,"$11,024 ",49
,2.27,2021-06-01,1285,1086,42,23.39885859,52.18769816,-0.505208333,0.965517241,1.0364,0.228527941,clewiston,fl,clewiston_fl,6,8.23%,"$5,204 ",-23.79%,"$4,820 ",5
88.7,2.27,2021-06-01,783,105,1109,98.73176918,75.64996829,-0.877906977,2.454545455,1.3818,0.03285759,clarksville,tn,clarksville_tn,10,8.72%,"$5,513 ",-19.27%,"$4,551 ",4
100.1,2.27,2021-06-01,493,63,464,98.2878884,83.38617628,-0.571428571,3,1.5273,0.068130783,nashville,tn,nashville_tn,10,8.72%,"$5,513 ",-19.27%,"$4,551 ",4
,2.27,2021-06-01,1046,1485,-562,12.11160431,7.419150285,0.064220183,0.277777778,0.4182,-0.095298602,paragould,ar,paragould_ar,30,11.28%,"$7,134 ",4.48%,"$5,217 ",18
91,2.27,2021-06-01,606,527,31,40.13950539,81.35700698,-0.455172414,0.975609756,1.4727,-0.202997908,greensboro,nc,greensboro_nc,22,10.61%,"$6,710 ",-1.73%,"$5,742 ",17
,2.27,2021-06-01,1146,1031,227,15.28218136,65.25047559,-0.579766537,1.310344828,1.2182,0.286702074,kill devil hills,nc,kill devil hills_nc,22,10.61%,"$6,710 ",-1.73%,"$5,742 ",17
173.5,2.27,2021-06-01,19,856,-237,87.31769182,8.053265694,-0.294117647,0.210526316,0.4182,0.030374436,san jose,ca,san jose_ca,11,8.96%,"$5,662 ",-17.08%,"$8,588 ",32
,2.27,2021-06-01,1310,914,195,21.94039315,69.56246037,-0.54028436,1.151515152,1.2909,-0.030230978,arcadia,fl,arcadia_fl,6,8.23%,"$5,204 ",-23.79%,"$4,820 ",5
,2.27,2021-06-01,571,403,662,53.6461636,79.58148383,-0.538961039,2.291666667,1.4364,0.125919118,pinehurst,nc,pinehurst_nc,22,10.61%,"$6,710 ",-1.73%,"$5,742 ",17
103.4,2.27,2021-06-01,158,374,-206,78.31325301,57.5142676,-0.446601942,0.25,1.0909,0.035249829,philadelphia,pa,philadelphia_pa,48,13.97%,"$8,830 ",29.32%,"$8,138 ",44
81.2,2.27,2021-06-01,1025,1478,-19,5.009511731,16.42358909,-0.353658537,0.736842105,0.6,0.008852691,bluefield,wv,bluefield_wv,17,9.69%,"$6,124 ",-10.31%,"$4,405 ",12
99,2.27,2021-06-01,885,534,285,29.93024731,90.80532657,-0.435064935,2.0625,1.7818,0.210160044,wilmington,nc,wilmington_nc,22,10.61%,"$6,710 ",-1.73%,"$5,742 ",17
100.1,2.27,2021-06-01,592,678,-302,43.37349398,64.8065948,-0.341880342,0.717948718,1.2182,-0.073146293,chicago,il,chicago_il,51,15.01%,"$9,488 ",38.95%,"$9,200 ",47
86.3,2.27,2021-06-01,1064,198,205,73.11350666,85.47875713,-0.534883721,1.023255814,1.5818,0.06772597,jefferson city,mo,jefferson city_mo,28,11.25%,"$7,111 ",4.14%,"$6,023 ",16
95.8,2.27,2021-06-01,217,1168,26,58.27520609,7.926442613,-0.521126761,0.533333333,0.4182,0.120593354,houston,tx,houston_tx,40,12.79%,"$8,083 ",18.37%,"$7,212 ",34
95.8,2.27,2021-06-01,3,1306,-213,49.71464807,1.521876982,-0.342342342,0.571428571,0.2,0.129002884,houston,tx,houston_tx,40,12.79%,"$8,083 ",18.37%,"$7,212 ",34
92.4,2.27,2021-06-01,976,355,-324,49.71464807,88.39568802,-0.179775281,0.148148148,1.6909,0,new orleans,la,new orleans_la,23,10.63%,"$6,723 ",-1.54%,"$5,239 ",19
,2.27,2021-06-01,889,1352,-209,9.89220038,33.03741281,-0.5,0.285714286,0.8182,0.213305174,oil city,pa,oil city_pa,48,13.97%,"$8,830 ",29.32%,"$8,138 ",44
85.8,2.27,2021-06-01,260,1410,-82,27.20355105,5.072923272,-0.430379747,0.666666667,0.3636,-0.105653128,shreveport,la,shreveport_la,23,10.63%,"$6,723 ",-1.54%,"$5,239 ",19
84.6,2.27,2021-06-01,851,338,190,73.11350666,67.08941027,-0.562043796,0.769230769,1.2545,0.169730246,london,ky,london_ky,39,12.48%,"$7,887 ",15.51%,"$6,115 ",30
90.8,2.27,2021-06-01,859,731,560,64.10906785,39.88585923,-0.59375,2.0625,0.8909,0.249467314,hinesville,ga,hinesville_ga,21,10.57%,"$6,683 ",-2.13%,"$5,989 ",15
,2.27,2021-06-01,1264,1048,168,36.39822448,42.73937857,-0.456953642,2,0.9273,0.092494481,garden city,ks,garden city_ks,47,13.43%,"$8,488 ",24.30%,"$7,294 ",36
102.3,2.27,2021-06-01,1295,344,486,51.36334813,87.82498415,-0.638190955,1.11627907,1.6545,0.277013752,claremont,nh,claremont_nh,19,10.06%,"$6,358 ",-6.88%,"$7,577 ",33
,2.27,2021-06-01,1377,1391,-14,8.560558022,27.58402029,-0.367149758,1,0.7636,0.222684703,bainbridge,ga,bainbridge_ga,21,10.57%,"$6,683 ",-2.13%,"$5,989 ",15
,2.27,2021-06-01,1045,402,56,43.37349398,89.917565,-0.506410256,0.811320755,1.7455,0.177825388,seymour,in,seymour_in,34,11.75%,"$7,430 ",8.81%,"$6,239 ",28
128,2.27,2021-06-01,633,1320,-124,15.28218136,33.67152822,-0.517857143,0.5,0.8182,0.150306748,ukiah,ca,ukiah_ca,11,8.96%,"$5,662 ",-17.08%,"$8,588 ",32
100.1,2.27,2021-06-01,237,611,-33,73.11350666,40.83703234,-0.423076923,0.814814815,0.8909,0.0475382,chicago,il,chicago_il,51,15.01%,"$9,488 ",38.95%,"$9,200 ",47
90.9,2.27,2021-06-01,579,359,297,57.07038681,80.4692454,-0.586826347,0.818181818,1.4545,0.235608682,corning,ny,corning_ny,49,14.08%,"$8,900 ",30.34%,"$11,024 ",49
111.5,2.27,2021-06-01,118,133,17,96.70259987,74.31832594,-0.693877551,0.574468085,1.3455,0.033340742,providence,ri,providence_ri,41,12.82%,"$8,103 ",18.67%,"$9,063 ",50
100.3,2.27,2021-06-01,272,660,291,67.78693722,42.10526316,-0.543478261,1.083333333,0.9091,0.226800881,atlanta,ga,atlanta_ga,21,10.57%,"$6,683 ",-2.13%,"$5,989 ",15
99.7,2.27,2021-06-01,544,635,410,54.91439442,57.13379835,-0.588235294,1.142857143,1.0909,0.113585746,hagerstown,md,hagerstown_md,32,11.49%,"$7,261 ",6.34%,"$10,011 ",46
,2.27,2021-06-01,513,79,-11,79.83512999,98.79518072,-0.341176471,1.705882353,2.5091,0.103672144,louisville/jefferson county,ky,louisville/jefferson county_ky,39,12.48%,"$7,887 ",15.51%,"$6,115 ",30
87.8,2.27,2021-06-01,284,1298,-99,27.20355105,24.85732403,-0.540816327,0.5,0.7091,-0.037848067,jackson,ms,jackson_ms,36,11.97%,"$7,569 ",10.86%,"$5,381 ",21
100.3,2.27,2021-06-01,159,669,-190,88.14204185,21.05263158,-0.459770115,0.384615385,0.6545,0.368121978,boise city,id,boise city_id,8,8.43%,"$5,329 ",-21.96%,"$4,870 ",6
104.7,2.27,2021-06-01,310,210,595,86.42993025,69.3088142,-0.691823899,1.058823529,1.2727,0.098813175,crestview,fl,crestview_fl,6,8.23%,"$5,204 ",-23.79%,"$4,820 ",5
100.1,2.27,2021-06-01,394,215,-125,73.11350666,82.11794547,-0.405940594,0.28125,1.4909,-0.001525941,chicago,il,chicago_il,51,15.01%,"$9,488 ",38.95%,"$9,200 ",47
