"rank","name","usps","pop2021","pop2010","change","density","aland"
"107","Modesto","CA","216810","203301","","1947.8209","111309000"
"108","Baton Rouge","LA","216328","229374","","966.1684","223903000"
"109","Port St. Lucie","FL","215922","164848","","699.3810","308733000"
"110","San Bernardino","CA","214706","210637","","1334.7383","160860000"
"111","McKinney","TX","214035","132934","","1234.5348","173373000"
"112","Fayetteville","NC","213475","208337","","557.4881","382923000"
"113","Santa Clarita","CA","211839","208822","","1155.9857","183254000"
"114","Des Moines","IA","210723","205032","","922.6657","228385000"
"115","Oxnard","CA","208101","198539","","3028.8533","68706200"
"116","Birmingham","AL","207235","212328","","547.7567","378334000"
"117","Spring Valley","NV","207127","178395","","2404.9328","86125900"
"118","Huntsville","AL","205472","180941","","370.0885","555197000"
"119","Rochester","NY","205077","210217","","2213.8248","92634700"
"120","Cape Coral","FL","204549","154731","","745.4274","274405000"
"121","Tempe","AZ","203923","162323","","1969.4903","103541000"
"122","Grand Rapids","MI","202767","188007","","1749.2128","115919000"
"123","Yonkers","NY","201344","196407","","4315.9170","46651500"
"124","Overland Park","KS","201034","174040","","1032.4473","194716000"
"125","Salt Lake City","UT","200831","186643","","700.4747","286707000"
"126","Amarillo","TX","199747","191249","","758.0071","263516000"
"127","Augusta","GA","199614","196375","","254.9717","782887000"
"128","Columbus","GA","198969","191101","","354.8715","560679000"
"129","Tallahassee","FL","197974","181438","","760.7772","260226000"
"130","Montgomery","AL","197777","205593","","477.6149","414093000"
"131","Huntington Beach","CA","197417","191296","","2822.8076","69936400"
"132","Akron","OH","197023","199081","","1228.2847","160405000"
"133","Little Rock","AR","196968","193972","","633.7921","310777000"
"134","Glendale","CA","196533","191720","","2490.3129","78919000"
"135","Grand Prairie","TX","195651","175974","","1045.4849","187139000"
"136","Aurora","IL","194873","198207","","1671.6965","116572000"
"137","Sunrise Manor","NV","193781","189372","","2241.6759","86444700"
"138","Ontario","CA","193594","164377","","1496.0550","129403000"
"139","Sioux Falls","SD","190583","154533","","940.6304","202612000"
"140","Knoxville","TN","188085","178258","","735.6726","255664000"
"141","Vancouver","WA","187615","167595","","1486.1065","126246000"
"142","Mobile","AL","186542","194577","","516.4336","361212000"
"143","Worcester","MA","185174","181759","","1913.7038","96762100"
"144","Chattanooga","TN","184561","170574","","498.4457","370273000"
"145","Brownsville","TX","183677","175362","","535.9515","342712000"
"146","Peoria","AZ","183357","154846","","402.2654","455811000"
"147","Fort Lauderdale","FL","183109","166126","","2044.1383","89577600"
"148","Shreveport","LA","182616","201437","","656.7409","278064000"
"149","Newport News","VA","180629","180888","","1010.8569","178689000"
"150","Providence","RI","180609","178029","","3788.7112","47670300"
"151","Elk Grove","CA","179119","153375","","1645.3465","108864000"
"152","Rancho Cucamonga","CA","178119","166226","","1714.2981","103902000"
"153","Salem","OR","177803","155247","","1409.9041","126110000"
"154","Pembroke Pines","FL","176823","155265","","2089.5309","84623300"
"155","Santa Rosa","CA","176759","175238","","1605.0906","110124000"
"156","Eugene","OR","176464","156527","","1543.6509","114316000"
"157","Oceanside","CA","175710","168079","","1644.4395","106851000"
"158","Cary","NC","174762","137086","","1149.0092","152098000"
"159","Fort Collins","CO","174081","145268","","1175.4129","148102000"
"160","Corona","CA","172652","153052","","1667.1205","103563000"
"161","Enterprise","NV","171108","108481","","1292.1223","132424000"
"162","Garden Grove","CA","170542","171181","","3666.8444","46509200"
"163","Springfield","MO","168568","159376","","789.9379","213394000"
"164","Clarksville","TN","161686","133486","","631.8772","255882000"
"165","Bayamon","PR","161034","185996","","2304.7000","69872000"
"166","Lakewood","CO","160441","142759","","1439.0618","111490000"
"167","Alexandria","VA","160146","140729","","4140.3434","38679400"
"168","Hayward","CA","158089","144835","","1340.4075","117941000"
"169","Murfreesboro","TN","157816","109572","","987.4238","159826000"
"170","Killeen","TX","157632","129024","","1115.8208","141270000"
"171","Hollywood","FL","155689","141013","","2204.3898","70626800"
"172","Lancaster","CA","155559","156824","","637.0487","244187000"
"173","Salinas","CA","155101","150887","","2556.0776","60679300"
"174","Jackson","MS","154340","173698","","536.4392","287712000"
"175","Midland","TX","153768","111276","","798.1687","192651000"
"176","Macon County","GA","153671","155814","","237.9033","645939000"
"177","Kansas City","KS","152950","145878","","473.1354","323269000"
"178","Palmdale","CA","152921","152936","","556.6107","274736000"
"179","Sunnyvale","CA","152495","140462","","2672.6595","57057400"
"180","Springfield","MA","152160","153569","","1843.4654","82540200"
"181","Escondido","CA","151289","144440","","1565.4305","96643700"
"182","Pomona","CA","151223","149107","","2540.5468","59523800"
"183","Bellevue","WA","150364","128357","","1735.0266","86663800"
"184","Surprise","AZ","149558","117643","","534.3590","279883000"
"185","Naperville","IL","149167","142402","","1483.9534","100520000"
"186","Pasadena","TX","148215","149523","","1312.9501","112887000"
"187","Denton","TX","147993","117010","","593.7533","249250000"
"188","Roseville","CA","146594","119916","","1284.0763","114163000"
"189","Joliet","IL","146572","147524","","882.1508","166153000"
"190","Thornton","CO","145688","119391","","1567.2488","92957800"
"191","McAllen","TX","144744","132093","","850.6447","170158000"
"192","Paterson","NJ","144511","146391","","6631.9567","21790100"
"193","Rockford","IL","144213","153147","","864.8974","166740000"
"194","Carrollton","TX","143718","119564","","1513.2495","94973100"
"195","Bridgeport","CT","143653","144864","","3452.6410","41606700"
"196","Miramar","FL","142445","122300","","1906.1670","74728500"
"197","Round Rock","TX","142418","100772","","1518.4451","93792000"
"198","Metairie","LA","142135","138481","","2359.4905","60239700"
"199","Olathe","KS","142119","126269","","890.1855","159651000"
"200","Waco","TX","141936","125377","","616.7484","230136000"
